disease,symptoms
sleep disorders in older adults,"difficulty falling asleep, waking up often during the night (for example, due to nocturia), difficulty telling the difference between night and day, early morning awakening"
sleeping sickness,"weakness, mood changes, anxiety, insomnia at night, sleepiness during the day (may be uncontrollable), swollen lymph nodes all over the body, headache, swollen, red, painful nodule at site of the fly bite, fever, sweating"
sleepwalking,"sitting up and appearing awake during sleep, acting confused or disoriented when the person wakes up, aggressive behavior when woken up by someone else, performing detailed activity of any type during sleep, talking during sleep and saying things that do not make sense, not remembering the sleep walking episode when they wake up, walking during sleep, having a blank look on the face, opening eyes during sleep"
slipped capital femoral epiphysis,"hip pain, restricted hip movements, knee pain, outward-turning leg, hip stiffness, difficulty walking, walking with a limp that came on quickly with or without trauma"
small bowel bacterial overgrowth,"bloating, diarrhea (most often watery), weight loss, abdominal fullness, fatty stool, abdominal pain and cramps, gassiness"
small intestinal ischemia and infarction,"diarrhea, vomiting, blood in the stool, fever"
smashed fingers,"discoloration or bruising of the finger or fingernail, loss of fingernail, swelling, difficulty moving the tip of the finger, finger pain"
snake bites,"weakness, numbness, slurred speech, headache, swelling, burning of the skin, mouth watering (excessive salivation), tissue death, fang marks in the skin, swelling at the site of the bite, stomach or abdominal pain, diarrhea, fainting, skin tissue damage, blurred vision, tingling, loss of muscle coordination, weak pulse, tissue damage, pain and swelling at site of bite, dizziness, increased thirst, skin discoloration, tiredness, shock, thirst, fever, skin color changes, drowsiness, excessive sweating, rapid pulse, severe pain, breathing difficulty, seizures (convulsions), low blood pressure, convulsions, nausea and vomiting, swelling of tongue and throat, bleeding, swallowing difficulty, pain at site of bite, numbness and tingling, bleeding from wound, paralysis, eyelid drooping"
sodium bisulfate poisoning,"severe low blood pressure (shock) causing weakness, blisters, breathing difficulty, drooling, burns, chest pain from burns of the esophagus (swallowing tube), vomiting, sometimes bloody, eye pain, painful, red skin, eye redness and tearing, diarrhea, gaggling sensation, decreased vision, burning pain in the mouth"
sodium carbonate poisoning,"hoarseness, vision loss, vomiting, low blood pressure (may develop rapidly), severe pain in the mouth, throat, chest, or abdominal area, drooling, skin burning, drainage, and pain, eye irritation, redness, and pain, shock, swallowing difficulty, breathing problems due to throat swelling, diarrhea, eye burning, drainage, and pain, collapse"
sodium hydroxide poisoning,"holes in the skin or tissue under the skin, lung inflammation, burns of the esophagus (food pipe) and stomach, throat swelling (which may also cause breathing difficulty), blood in the stool, severe abdominal pain, vomiting, possibly bloody, vision loss, breathing difficulty (from inhaling sodium hydroxide), severe pain in the throat, burns, severe pain or burning in the nose, eyes, ears, lips, or tongue, diarrhea, irritation, drooling, shock, severe change in blood ph (too much or too little acid in the blood), sneezing, hives, low blood pressure (develops rapidly), collapse"
sodium hypochlorite poisoning,"gagging sensation, weakness, coughing (from the fumes), throat swelling, which leads to difficulty breathing, low blood pressure, pain in the mouth or throat, drooling, vomiting, sometimes bloody, shock (extremely low blood pressure), slow heartbeat, delirium (agitation and confusion), coma (lack of responsiveness), stomach or abdominal pain, burning, tearing red eyes, burns of the esophagus, chest pain or tightness, skin irritation of the exposed area, burns, or blistering"
solder poisoning,"kidney damage, weakness, disturbance in the acid balance of the blood (can lead to failure of many organs), yellow skin (jaundice), constipation, twitching, tremor, skin irritation, reduced brain function or intelligence, lack of desire to do anything, reduced lung function, headache, no urine output, muscle aches, confusion, joint pain, low blood pressure (shock), eye irritation, kidney failure, sleeping difficulty, softening of the bones and kidney failure, yellow eyes (jaundice), pale skin, high blood pressure, diarrhea, vision problems, abdominal pain, hallucinations, metallic taste, hearing loss, loss of appetite, excessive thirst, dizziness, weight loss, depression, burns in mouth and throat, fever, gum disease (gingivitis), eczema (skin dryness and irritation), uncoordinated movements, silver deposits in the eyes, vomiting, stomach problems, seizures (convulsions), fatigue, irritability, excitability, heart, kidney, and liver failure (uncommon), coma (decreased level of consciousness and lack of responsiveness), grayish-black staining of the skin and mucous membranes, confusion (uncommon), chemical burns, irritation of mucous membranes (mouth, nose), decreased urine output, paralysis, collapse"
solitary fibrous tumor,"chest pain, chronic cough, shortness of breath, clubbed appearance of the fingers"
spasmus nutans,"small, quick, side-to-side eye movements called nystagmus (both eyes are involved, but each eye may move differently), head tilting, head nodding"
speech disorders - children,"voice may be too loud or too soft, tension in the voice or sounds, eye blinking while talking, certain sounds (like ""r"", ""l"", or ""s"") may be consistently distorted or changed (such as making the 's' sound with a whistle)., embarrassment with speech, frustration with attempts to communicate, the last or first sound of words (most often consonants) may be left out or changed., making words longer (i am boooobbby jones.), person may run out of air during a sentence, hoarseness or raspiness to the voice, errors may make it hard for people to understand the person (only family members may be able to understand a child)., pausing during a sentence or words, often with the lips together, putting in (interjecting) extra sounds or words (we went to the...uh...store.), speech may sound odd because too much air is escaping through the hose (hypernasality) or too little air is coming out through the nose (hyponasality), the child may have no problem pronouncing the same sound in other words (a child may say ""boo"" for ""book"" and ""pi"" for ""pig"", but may have no problem saying ""key"" or ""go"")., head jerking while talking, repetition of sounds, words, or parts of words or phrases after age 4 (i want...i want my doll. i...i see you.), pitch of the voice may change suddenly, voice may break in or out"
